DepartmentName,SubFunction,DepCode,SubCode,blank2
National Defense,,050,,
,Department of Defenseâ€”military,,051,
,Atomic energy defense activities,,053,
,Defense-related activities,,054,
,,,,
International Affairs,,150,,
,International development and humanitarian assistance,,151,
,International security assistance,,152,
,Conduct of foreign affairs,,153,
,Foreign information and exchange activities,,154,
,International financial programs,,155,
,,,,
"General Science, Space, and Technology",,250,,
,General science and basic research,,251,
,"Space flight, research, and supporting activities",,252,
,,,,
Energy,,270,,
,Energy supply,,271,
,Energy conservation,,272,
,Emergency energy preparedness,,274,
,"Energy information, policy, and regulation",,276,
,,,,
Natural Resources and Environment,,300,,
,Water resources,,301,
,Conservation and land management,,302,
,Recreational resources,,303,
,Pollution control and abatement,,304,
,Other natural resources,,306,
,,,,
Agriculture,,350,,
,Farm income stabilization,,351,
,Agricultural research and services,,352,
,,,,
Commerce and Housing Credit,,370,,
,Mortgage credit,,371,
,Postal Service,,372,
,Deposit insurance,,373,
,Other advancement of commerce,,376,
,,,,
Transportation,,400,,
,Ground transportation,,401,
,Air transportation,,402,
,Water transportation,,403,
,Other transportation,,407,
,,,,
Community and Regional Development,,450,,
,Community development,,451,
,Area and regional development,,452,
,Disaster relief and insurance,,453,
,,,,
"Education, Training, Employment, and Social Services",,500,,
,"Elementary, secondary, and vocational education",,501,
,Higher education,,502,
,Research and general education aids,,503,
,Training and employment,,504,
,Other labor services,,505,
,Social services,,506,
,,,,
Health,,550,,
,Health care services,,551,
,Health research and training,,552,
,Consumer and occupational health and safety,,554,
,,,,
Medicare,,570,,
,Medicare,,571,
,,,,
Income Security,,600,,
,General retirement and disability insurance (excluding Social Security),,601,
,,,,
,Federal employee retirement and disability,,602,
,Unemployment compensation,,603,
,Housing assistance,,604,
,Food and nutrition assistance,,605,
,Other income security,,609,
,,,,
Social Security,,650,,
,Social Security,,651,
,,,,
Veterans Benefits and Services,,700,,
,Income security for veterans,,701,
,"Veterans education, training, and rehabilitation",,702,
,Hospital and medical care for veterans,,703,
,Veterans housing,,704,
,Other veterans benefits and services,,705,
,,,,
Administration of Justice,,750,,
,Federal law enforcement activities,,751,
,Federal litigative and judicial activities,,752,
,Federal correctional activities,,753,
,Criminal justice assistance,,754,
,,,,
General Government,,800,,
,Legislative functions,,801,
,Executive direction and management,,802,
,Central fiscal operations,,803,
,General property and records management,,804,
,Central personnel management,,805,
,General purpose fiscal assistance,,806,
,Other general government,,808,
,Deductions for offsetting receipts,,809,
,,,,
Net Interest,,900,,
,Interest on Treasury debt securities,,901,
,Interest received by on-budget trust funds,,902,
,Interest received by off-budget trust funds,,903,
,Other interest,,908,
,Other investment income,,909,
,,,,
Allowances,,920,,
,,,,
Undistributed Offsetting Receipts,,950,,
,"Employer share, employee retirement (on-budget)",,951,
,"Employer share, employee retirement (off-budget)",,952,
,Rents and royalties on the Outer Continental Shelf,,953,
,Other undistributed offsetting receipts,,959,
,,,,
Back to Table of Contents,,,,